,Drug,Recall,Precision,Balanced Accuracy,Selected Features,,,,,Summary ,,,
0,TREE_CLASSIFIER,*,*,*,*,,,,,Drugs,Average Recall,Average Precision,Average Accuracy
1,amphet,0.703180212,0.700374154,0.665668995,"['age', 'country', 'cscore', 'impulsive', 'ss']",,,,,amphet,0.722614841,0.717992249,0.682920408
2,canabis,0.756183746,0.768208289,0.740274091,"['age', 'country', 'ethnicity', 'oscore', 'cscore', 'ss']",,,,,canabis,0.82155477,0.82558649,0.804427065
3,ecstasy,0.699646643,0.697732301,0.684288384,"['age', 'oscore', 'cscore', 'ss']",,,,,ecstasy,0.713780919,0.713382312,0.701832243
4,legalh,0.747349823,0.745150453,0.731366137,"['age', 'gender', 'oscore', 'cscore', 'ss']",,,,,legalh,0.782685512,0.783939195,0.776653171
5,lsd,0.780918728,0.780918728,0.727817076,"['age', 'country', 'ethnicity', 'oscore', 'ss']",,,,,lsd,0.819787986,0.82536657,0.789681062
6,mushrooms,0.786219081,0.786475331,0.765059909,"['age', 'country', 'oscore', 'cscore', 'ss']",,,,,mushrooms,0.786219081,0.786475331,0.768588447
7,SVM_CLASSIFIER,*,*,*,*,,,,,,,,
8,amphet,0.722614841,0.717992249,0.682920408,"['age', 'country', 'cscore', 'impulsive', 'ss']",,,,,,,,
9,canabis,0.819787986,0.817540041,0.785563608,"['age', 'country', 'ethnicity', 'oscore', 'cscore', 'ss']",,,,,,,,
10,ecstasy,0.713780919,0.713382312,0.701832243,"['age', 'oscore', 'cscore', 'ss']",,,,,,,,
11,legalh,0.77385159,0.775795723,0.768543029,"['age', 'gender', 'oscore', 'cscore', 'ss']",,,,,,,,
12,lsd,0.819787986,0.82536657,0.789681062,"['age', 'country', 'ethnicity', 'oscore', 'ss']",,,,,Drugs,Max Recall,Max Precision,Max Accuracy
13,mushrooms,0.775618375,0.782562128,0.765211231,"['age', 'country', 'oscore', 'cscore', 'ss']",,,,,amphet,0.722614841,0.717992249,0.682920408
14,RANDOM_FOREST_CLASSIFIER,*,*,*,*,,,,,ecstasy,0.713780919,0.713382312,0.701832243
15,amphet,0.685512367,0.700643841,0.671959871,"['age', 'country', 'cscore', 'impulsive', 'ss']",,,,,mushrooms,0.786219081,0.786475331,0.768588447
16,canabis,0.772084806,0.778587845,0.750498673,"['age', 'country', 'ethnicity', 'oscore', 'cscore', 'ss']",,,,,legalh,0.782685512,0.783939195,0.776653171
17,ecstasy,0.701413428,0.699683191,0.686481366,"['age', 'oscore', 'cscore', 'ss']",,,,,lsd,0.819787986,0.82536657,0.789681062
18,legalh,0.782685512,0.783939195,0.776653171,"['age', 'gender', 'oscore', 'cscore', 'ss']",,,,,canabis,0.82155477,0.82558649,0.804427065
19,lsd,0.761484099,0.758358132,0.696885083,"['age', 'country', 'ethnicity', 'oscore', 'ss']",,,,,,,,
20,mushrooms,0.713780919,0.720569922,0.695307664,"['age', 'country', 'oscore', 'cscore', 'ss']",,,,,,,,
21,KNN_CLASSIFIER,*,*,*,*,,,,,,,,
22,amphet,0.699646643,0.701935932,0.670380224,"['age', 'country', 'cscore', 'impulsive', 'ss']",,,,,,,,
23,canabis,0.82155477,0.82558649,0.804427065,"['age', 'country', 'ethnicity', 'oscore', 'cscore', 'ss']",,,,,,,,
24,ecstasy,0.703180212,0.70553173,0.695097581,"['age', 'oscore', 'cscore', 'ss']",,,,,,,,
25,legalh,0.780918728,0.78034825,0.770891726,"['age', 'gender', 'oscore', 'cscore', 'ss']",,,,,,,,
26,lsd,0.791519435,0.799729423,0.758438819,"['age', 'country', 'ethnicity', 'oscore', 'ss']",,,,,,,,
27,mushrooms,0.77385159,0.784636476,0.768588447,"['age', 'country', 'oscore', 'cscore', 'ss']",,,,,,,,
