,Drug,Recall,Precision,Balanced Accuracy
0,alcohol,0.9770318021201413,0.954591142354131,0.5
1,amphet,0.7226148409893993,0.7290766183691333,0.7026521449950116
2,amyl,0.7950530035335689,0.6321092784277491,0.5
3,benzos,0.7067137809187279,0.7025152596193167,0.6830368133932851
4,caff,0.980565371024735,0.9615084468528762,0.5
5,canabis,0.8127208480565371,0.8138758942019841,0.7876874506708761
6,choc,0.9840989399293286,0.9684507235700284,0.5
7,coke,0.6678445229681979,0.6529929552525796,0.6111785329018339
8,crack,0.8975265017667845,0.8055538213737218,0.5
9,ecstasy,0.7314487632508834,0.7318429976077081,0.7216209903456867
10,heroin,0.8816254416961131,0.7772634194458665,0.5
11,ketamine,0.8215547703180212,0.6749522406322965,0.5
12,legalh,0.784452296819788,0.7828951308618315,0.7702818436624104
13,lsd,0.8109540636042403,0.8181384017733687,0.781614544551998
14,meth,0.8109540636042403,0.7929846716776154,0.6631854256854257
15,mushrooms,0.784452296819788,0.7873295357203433,0.7684371259956255
16,nicotine,0.7314487632508834,0.7150469930187552,0.64297851945449
17,semer,0.9982332155477032,0.9964695526227073,0.5
18,vsa,0.8657243816254417,0.7494787049407534,0.5
19,All drugs,0.5017648654039689,0.512842870294044,0.6122459679819285
