,Drug,Demographic,Personnality,All
0,alcohol,0.533036583669495,0.5086242871052997,0.472875226039783
1,amphet,0.6491935483870968,0.5843448619886931,0.621535860769316
2,amyl,0.5581609195402298,0.513448275862069,0.628007662835249
3,benzos,0.6612869786065074,0.584751143534656,0.5716507068534332
4,caff,0.4954954954954955,0.48558558558558557,0.49099099099099097
5,canabis,0.7199469039248045,0.6120901198249264,0.7131233407476502
6,choc,0.49730700179533216,0.4856373429084381,0.48025134649910234
7,coke,0.5678532901833873,0.5809196332254585,0.5944579288025891
8,crack,0.515035297311974,0.5480925875644855,0.5485677436872115
9,ecstasy,0.7018841482404234,0.5899252569293055,0.6532751998339043
10,heroin,0.5242873807316124,0.5851254748302575,0.5345467053510005
11,ketamine,0.5137975087831363,0.5657404450122432,0.5388374321303098
12,legalh,0.7322355444825079,0.6012015986712342,0.6538850825288072
13,lsd,0.7226048647307024,0.5978375527426161,0.6628816083395384
14,meth,0.6767316017316017,0.5660714285714286,0.5950036075036075
15,mushrooms,0.7388194186510393,0.6000233860206623,0.6601185808812402
16,nicotine,0.6262399604955485,0.572269908355482,0.6144031487371647
17,semer,0.5,0.4964601769911504,0.4964601769911504
18,vsa,0.550483351235231,0.5729591836734693,0.5511815252416756
