,Drug,Demographic,Personnality,All
0,alcohol,0.533036583669495,0.47649186256781195,0.47377938517179025
1,amphet,0.6491935483870968,0.581989247311828,0.6104506152311273
2,amyl,0.5538505747126437,0.4903831417624521,0.6227203065134099
3,benzos,0.6576198929677477,0.5942687209257124,0.5766330193202286
4,caff,0.4954954954954955,0.4873873873873874,0.4900900900900901
5,canabis,0.717184472985578,0.6195522709334864,0.7103609098084236
6,choc,0.49730700179533216,0.4838420107719928,0.48025134649910234
7,coke,0.5678532901833873,0.5781553398058252,0.562891046386192
8,crack,0.515035297311974,0.5291202823784957,0.5515204995927233
9,ecstasy,0.7018841482404234,0.5789603446486038,0.6328246652133291
10,heroin,0.5317500672987766,0.6020548559806179,0.5474680704692968
11,ketamine,0.5137975087831363,0.5437879271798147,0.5246353667624828
12,legalh,0.7322355444825079,0.6049257759784076,0.649551022526731
13,lsd,0.7226048647307024,0.6064159841151651,0.6728871928518243
14,meth,0.6784271284271284,0.5609668109668109,0.6108946608946608
15,mushrooms,0.7388194186510393,0.6025614570866521,0.6590868446755533
16,nicotine,0.6275253075392503,0.5917897549852584,0.6102929429364008
17,semer,0.5,0.4946902654867257,0.49734513274336284
18,vsa,0.5449248120300751,0.5855531686358755,0.5764769065520945
